122,MH529995/2018-19/115645311,8.10000 MAl,0.37000 N,0.41000 L,184.00000 L,4.90000 VL,333.00000 M,12.30000 S,0.34000 D,5.30000 S,2.40000 S,9.70000 S,0.32000 D
123,MH529995/2018-19/115646108,7.90000 MAl,0.23000 N,0.47000 L,210.00000 L,4.90000 VL,345.00000 H,10.70000 S,0.36000 D,5.00000 S,1.10000 S,8.10000 S,0.24000 D
124,MH529995/2018-19/115646990,7.50000 MAl,0.68000 N,0.38000 L,170.00000 L,7.60000 L,310.00000 M,14.60000 S,0.38000 D,4.90000 S,2.60000 S,6.90000 S,0.34000 D
125,MH529995/2018-19/115648073,7.76000 MAl,0.55000 N,0.23000 VL,105.00000 VL,6.00000 L,295.00000 M,14.40000 S,0.64000 S,4.60000 S,3.00000 S,9.50000 S,0.42000 D
126,MH529995/2018-19/115648964,7.90000 MAl,0.63000 N,0.47000 L,210.00000 L,9.20000 L,385.00000 H,13.50000 S,0.30000 D,5.40000 S,3.80000 S,7.30000 S,1.80000 S
127,MH529995/2018-19/115649413,7.83000 MAl,0.71000 N,0.56000 M,249.00000 L,11.40000 M,469.00000 H,12.80000 S,1.18000 S,5.70000 S,3.40000 S,13.00000 S,0.96000 S
128,MH529995/2018-19/115649811,8.10000 MAl,0.58000 N,0.53000 M,236.00000 L,13.90000 M,491.00000 H,12.40000 S,0.34000 D,4.80000 S,1.60000 S,9.40000 S,0.32000 D
129,MH529995/2018-19/115650726,7.06000 MAl,0.49000 N,0.44000 L,197.00000 L,8.40000 L,289.00000 M,14.60000 S,0.58000 D,5.60000 S,2.80000 S,6.50000 S,0.52000 S
130,MH529995/2018-19/115652615,7.60000 MAl,0.81000 N,0.50000 L,223.00000 L,16.00000 M,118.00000 L,9.30000 D,0.42000 D,5.90000 S,2.60000 S,8.80000 S,0.26000 D
131,MH529995/2018-19/115653457,7.63000 MAl,0.50000 N,0.47000 L,210.00000 L,12.50000 M,368.00000 H,8.80000 D,0.36000 D,4.70000 S,3.80000 S,9.70000 S,0.58000 S
132,MH529995/2018-19/115654314,7.70000 MAl,0.80000 N,0.41000 L,184.00000 L,8.20000 L,78.00000 L,9.50000 D,0.30000 D,4.20000 D,2.20000 S,8.70000 S,0.52000 S
133,MH529995/2018-19/115655423,7.21000 MAl,0.43000 N,0.53000 M,236.00000 L,19.60000 M,522.00000 H,11.60000 S,0.52000 D,5.40000 S,2.40000 S,9.10000 S,0.34000 D
134,MH529995/2018-19/115728636,8.03000 MAl,0.90000 N,0.44000 L,197.00000 L,9.80000 L,256.00000 M,14.30000 S,0.50000 D,4.30000 D,3.00000 S,8.00000 S,0.30000 D
135,MH529995/2018-19/115728826,7.53000 MAl,0.67000 N,0.38000 L,170.00000 L,8.70000 L,417.00000 H,11.10000 S,0.40000 D,4.30000 D,1.40000 S,14.40000 S,0.34000 D
